# EUC,SJIS
0xa1a1,0x8140
0xa1a2,0x8141
0xa1a3,0x8142
0xa1a4,0x8143
0xa1a5,0x8144
0xa1a6,0x8145
0xa1a7,0x8146
0xa1a8,0x8147
0xa1a9,0x8148
0xa1aa,0x8149
0xa1ab,0x814a
0xa1ac,0x814b
0xa1ad,0x814c
0xa1ae,0x814d
0xa1af,0x814e
0xa1b0,0x814f
0xa1b1,0x8150
0xa1b2,0x8151
0xa1b3,0x8152
0xa1b4,0x8153
0xa1b5,0x8154
0xa1b6,0x8155
0xa1b7,0x8156
0xa1b8,0x8157
0xa1b9,0x8158
0xa1ba,0x8159
0xa1bb,0x815a
0xa1bc,0x815b
0xa1bd,0x815c
0xa1be,0x815d
0xa1bf,0x815e
0xa1c0,0x815f
0xa1c1,0x8160
0xa1c2,0x8161
0xa1c3,0x8162
0xa1c4,0x8163
0xa1c5,0x8164
0xa1c6,0x8165
0xa1c7,0x8166
0xa1c8,0x8167
0xa1c9,0x8168
0xa1ca,0x8169
0xa1cb,0x816a
0xa1cc,0x816b
0xa1cd,0x816c
0xa1ce,0x816d
0xa1cf,0x816e
0xa1d0,0x816f
0xa1d1,0x8170
0xa1d2,0x8171
0xa1d3,0x8172
0xa1d4,0x8173
0xa1d5,0x8174
0xa1d6,0x8175
0xa1d7,0x8176
0xa1d8,0x8177
0xa1d9,0x8178
0xa1da,0x8179
0xa1db,0x817a
0xa1dc,0x817b
0xa1dd,0x817c
0xa1de,0x817d
0xa1df,0x817e
0xa1e0,0x8180
0xa1e1,0x8181
0xa1e2,0x8182
0xa1e3,0x8183
0xa1e4,0x8184
0xa1e5,0x8185
0xa1e6,0x8186
0xa1e7,0x8187
0xa1e8,0x8188
0xa1e9,0x8189
0xa1ea,0x818a
0xa1eb,0x818b
0xa1ec,0x818c
0xa1ed,0x818d
0xa1ee,0x818e
0xa1ef,0x818f
0xa1f0,0x8190
0xa1f1,0x8191
0xa1f2,0x8192
0xa1f3,0x8193
0xa1f4,0x8194
0xa1f5,0x8195
0xa1f6,0x8196
0xa1f7,0x8197
0xa1f8,0x8198
0xa1f9,0x8199
0xa1fa,0x819a
0xa1fb,0x819b
0xa1fc,0x819c
0xa1fd,0x819d
0xa1fe,0x819e
0xa2a1,0x819f
0xa2a2,0x81a0
0xa2a3,0x81a1
0xa2a4,0x81a2
0xa2a5,0x81a3
0xa2a6,0x81a4
0xa2a7,0x81a5
0xa2a8,0x81a6
0xa2a9,0x81a7
0xa2aa,0x81a8
0xa2ab,0x81a9
0xa2ac,0x81aa
0xa2ad,0x81ab
0xa2ae,0x81ac
0xa2af,0x81ad
0xa2b0,0x81ae
0xa2b1,0x81af
0xa2b2,0x81b0
0xa2b3,0x81b1
0xa2b4,0x81b2
0xa2b5,0x81b3
0xa2b6,0x81b4
0xa2b7,0x81b5
0xa2b8,0x81b6
0xa2b9,0x81b7
0xa2ba,0x81b8
0xa2bb,0x81b9
0xa2bc,0x81ba
0xa2bd,0x81bb
0xa2be,0x81bc
0xa2bf,0x81bd
0xa2c0,0x81be
0xa2c1,0x81bf
0xa2c2,0x81c0
0xa2c3,0x81c1
0xa2c4,0x81c2
0xa2c5,0x81c3
0xa2c6,0x81c4
0xa2c7,0x81c5
0xa2c8,0x81c6
0xa2c9,0x81c7
0xa2ca,0x81c8
0xa2cb,0x81c9
0xa2cc,0x81ca
0xa2cd,0x81cb
0xa2ce,0x81cc
0xa2cf,0x81cd
0xa2d0,0x81ce
0xa2d1,0x81cf
0xa2d2,0x81d0
0xa2d3,0x81d1
0xa2d4,0x81d2
0xa2d5,0x81d3
0xa2d6,0x81d4
0xa2d7,0x81d5
0xa2d8,0x81d6
0xa2d9,0x81d7
0xa2da,0x81d8
0xa2db,0x81d9
0xa2dc,0x81da
0xa2dd,0x81db
0xa2de,0x81dc
0xa2df,0x81dd
0xa2e0,0x81de
0xa2e1,0x81df
0xa2e2,0x81e0
0xa2e3,0x81e1
0xa2e4,0x81e2
0xa2e5,0x81e3
0xa2e6,0x81e4
0xa2e7,0x81e5
0xa2e8,0x81e6
0xa2e9,0x81e7
0xa2ea,0x81e8
0xa2eb,0x81e9
0xa2ec,0x81ea
0xa2ed,0x81eb
0xa2ee,0x81ec
0xa2ef,0x81ed
0xa2f0,0x81ee
0xa2f1,0x81ef
0xa2f2,0x81f0
0xa2f3,0x81f1
0xa2f4,0x81f2
0xa2f5,0x81f3
0xa2f6,0x81f4
0xa2f7,0x81f5
0xa2f8,0x81f6
0xa2f9,0x81f7
0xa2fa,0x81f8
0xa2fb,0x81f9
0xa2fc,0x81fa
0xa2fd,0x81fb
0xa2fe,0x81fc
