# 01 家康の子供
01-家康	松平信康
01-家康	結城秀康（越前松平家）
01-家康	02-秀忠
01-家康	松平忠輝
01-家康	徳川義直（尾張徳川家）
01-家康	徳川頼宣（紀州徳川家）
01-家康	徳川頼房（水戸徳川家）

# 02 秀忠の子供
02-秀忠	03-家光
02-秀忠	徳川忠長（駿河徳川家）
02-秀忠	徳川和子（後水尾天皇の中宮）
02-秀忠	保科正之（会津松平家）

# 03 家光の子供
03-家光	04-家綱
03-家光	徳川綱重（甲府徳川家）
03-家光	松平清武（越智松平家）
03-家光	05-綱吉
# 綱重の子供
徳川綱重（甲府徳川家）	 06-家宣

# 04 家綱
04-家綱	05-綱吉
館林徳川家から養子	05-綱吉

# 05 綱吉の子供
05-綱吉	徳川徳松（夭折）
05-綱吉	06-家宣

# 06 家宣の子供
06-家宣	07-家継

# 07 家継の子供
07-家継	08-吉宗

# 08 吉宗の子供
紀州徳川家から養子（吉宗）	08-吉宗
08-吉宗	09-家重
08-吉宗	徳川宗武（田安徳川家）
08-吉宗	徳川宗尹（一橋徳川家）

# 09 家重の子供
09-家重	10-家治
09-家重	徳川重好（清水徳川家）

# 10 家治の子供
10-家治	徳川家基（夭折）
10-家治	11-家斉

# 11 家斉
一橋徳川家から養子（家斉）	11-家斉
11-家斉	12-家慶
11-家斉	徳川斉順

# 12 家慶
12-家慶	13-家定

# 13 家定
13-家定	14-家茂

# 14 家茂
紀州徳川家から養子（家茂）	14-家茂
14-家茂	15-慶喜

# 15 慶喜
一橋徳川家から養子（慶喜）	15-慶喜
15-慶喜	
